CardType,Action,Name,Args,
CommunityChest,AdvanceToLocation,Advance to Go,GO,
CommunityChest,AdvanceToLocation,Go to Old Kent Road,Old Kent Road,
CommunityChest,GoToJail,Go to Jail do not pass go do not pass go ,,
CommunityChest,PayBank,Pay Hospital Bills,100,
CommunityChest,PayBank,Doctor's Fees,50,
CommunityChest,PayBank,Pay your Insurance Premium,50,
CommunityChest,CollectMoneyFromBank,Bank error in your favour collect +AKM-200,200,
CommunityChest,CollectMoneyFromBank,Ammunity Matures collect +AKM-100,100,
CommunityChest,CollectMoneyFromBank,You inherit +AKM-100,100,
CommunityChest,CollectMoneyFromBank,From sale of stock you get +AKM-50,50,
CommunityChest,CollectMoneyFromBank,Receive interest on shares,25,
CommunityChest,CollectMoneyFromBank,Income Tax Refund,20,
CommunityChest,CollectMoneyFromBank,You have won second place in a beauty contest collect +AKM-10,10,
CommunityChest,CollectFromPlayers,It's your Birthday,10,
CommunityChest,GetOutOfJail,Get out of Jail free Card,,
Chance,GoBackSpaces,Go back three spaces,3,
Chance,AdvanceToLocation,Advance to Go,GO,
Chance,GoToJail,Go to Jail do not pass go do not pass go ,,
Chance,AdvanceToLocation,Advance to Pall Mall,Pall Mall,
Chance,AdvanceToLocation,Advance to Marlyebone Station,Marylebone Station,
Chance,AdvanceToLocation,Advance to Mayfair,Mayfair,
Chance,PayBankDependingOnHousesAndHotelsOwned,General Repairs,25,100
Chance,PayBankDependingOnHousesAndHotelsOwned,Street Repairs,40,115
Chance,PayBank,Pay School fees ,150,
Chance,PayBank,Drunk in Charge ,20,
Chance,PayBank,Speeding Fine ,15,
Chance,CollectMoneyFromBank,Building Loan Matures,150,
Chance,CollectMoneyFromBank,Won a crossword competion,100,
Chance,CollectMoneyFromBank,Bank pays dividend,50,
Chance,GetOutOfJail,Get out of Jail free Card,,
CommunityChest,AdvanceToNearestUtility,Advance to Nearest Utility,,
Chance,AdvanceToNearestStation,Advance To Nearest Station,,
