Location,Name,Group,Cost,Mortgage,House Cost,Base Rent,1 house rent,2 house rent,3 house rent, 4 house rent,hotel rent
1,GO,GO,0,0,0,200,0,0,0,0,0
2,Old Kent Road,Brown,60,30,50,2,10,30,90,160,250
3,Community Chest,CommunityChest,0,0,0,0,0,0,0,0,0
4,Whitechapel Road,Brown,60,30,50,4,20,60,180,320,450
5,Income Tax,Tax,200,0,0,0,0,0,0,0,0
6,Kings Cross Station,Station,200,100,0,0,0,0,0,0,0
7,The Angel Islington,LightBlue,100,50,50,6,30,90,270,400,550
8,Chance,Chance,0,0,0,0,0,0,0,0,0
9,Euston Road,LightBlue,100,50,50,6,30,90,270,400,550
10,Pentonville Road,LightBlue,120,60,50,8,40,100,300,450,600
11,Jail,Jail,0,0,0,0,0,0,0,0,0
12,Pall Mall,Violet,140,70,100,10,50,150,450,625,750
13,Electric Company ,Utility,150,75,0,0,0,0,0,0,0
14,Whitehall ,Violet,140,70,100,10,50,150,450,625,750
15,Northumberland Avenue,Violet,160,80,100,12,60,180,500,700,900
16,Marylebone Station,Station,200,100,0,0,0,0,0,0,0
17,Bow Street,Orange,180,90,100,14,70,200,550,750,950
18,Community Chest,CommunityChest,0,0,0,0,0,0,0,0,0
19,Marlborough Street,Orange,180,90,100,14,70,200,550,750,950
20,Vine Street,Orange,200,100,100,16,80,220,600,800,1000
21,Free Parking,FreeParking,0,0,0,0,0,0,0,0,0
22,The Strand,Red,220,110,150,18,90,250,700,875,1050
23,Chance,Chance,0,0,0,0,0,0,0,0,0
24,Fleet Street,Red,220,110,150,18,90,250,700,875,1050
25,Trafalgar Square,Red,240,120,150,20,100,300,750,925,1100
26,Fenchurch St Station,Station,200,100,0,0,0,0,0,0,0
27,Leicester Square,Yellow,260,130,150,22,110,330,800,975,1150
28,Coventry Street,Yellow,260,130,150,22,110,330,800,975,1150
29,Water Works,Utility,150,75,0,0,0,0,0,0,0
30,Piccadilly,Yellow,280,140,150,22,120,360,850,1025,1200
31,Go To Jail,GoToJail,0,0,0,0,0,0,0,0,0
32,Regent Street,Green,300,150,200,26,130,390,900,1100,1275
33,Oxford Street,Green,300,150,200,26,130,390,900,1100,1275
34,Community Chest,CommunityChest,0,0,0,0,0,0,0,0,0
35,Bond Street,Green,320,160,200,28,150,450,1000,1200,1400
36,Liverpool Street,Station,200,100,0,0,0,0,0,0,0
37,Chance,Chance,0,0,0,0,0,0,0,0,0
38,Park Lane,DarkBlue,350,175,200,35,175,500,1100,1300,1500
39,Super Tax,Tax,100,0,0,0,0,0,0,0,0
40,Mayfair,DarkBlue,400,200,200,50,200,600,1400,1700,2000
